District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Harvard,01250000,   8.3,  13.3,   4.0,   7.1,   3.8,   2.9,   9.7,   1.3,   7.2,   4.1,   6.1,   2.0,   5.6
Hatfield,01270000,  10.3,   8.3,   0.0,  10.0,   3.7,   5.4,  21.6,  12.8,  30.0,   3.8,   0.0,   0.0,   9.3
Haverhill,01280000,   8.7,   8.3,   6.9,   6.0,   3.8,   6.2,   4.7,   4.0,  37.0,   6.0,   4.4,   5.3,   8.8
Hawlemont,06850000,  35.3,  13.3,  29.4,  17.9,  16.7,  11.1,,,,,,,  20.4
Helen Y. Davis Leadership Academy Charter Public (District),04190000,,,,,,,  15.5,  10.1,,,,,  12.7
Hill View Montessori Charter Public (District),04550000,  11.1,   2.9,   8.3,   5.0,   5.7,  14.7,   5.9,   3.0,,,,,   7.1
Hilltown Cooperative Charter Public (District),04500000,   0.0,   5.0,   0.0,   4.5,   0.0,   4.5,   9.4,   6.3,,,,,   4.2
Hingham,01310000,  20.1,  11.8,  11.6,   8.8,   5.6,   5.9,   8.4,   7.5,  13.6,   4.1,   1.2,   1.6,   8.3
Holbrook,01330000,   4.8,   5.1,   2.9,   3.4,   6.4,   4.4,   6.6,   3.2,  35.6,   6.7,   9.0,   5.1,   8.2
Holland,01350000,  15.0,  19.4,  11.4,   9.7,   4.0,   6.3,,,,,,,  10.9
Holliston,01360000,   4.6,   5.8,   3.8,   4.3,   3.0,   4.4,   1.8,   3.4,  18.7,   1.5,   3.7,   0.0,   4.6
Holyoke,01370000,   8.5,   9.7,   8.6,   6.5,  10.8,   8.5,   5.5,   5.6,   9.7,   4.6,   5.0,   2.6,   7.1
Holyoke Community Charter (District),04530000,   3.8,   3.5,   3.9,   7.0,   3.7,   4.9,   1.4,   2.7,,,,,   3.9
Hoosac Valley Regional,06030000,   4.4,  17.9,  13.0,   9.8,   7.1,   9.4,   5.7,   5.2,  39.8,   3.3,   2.7,   6.5,  10.7
Hopedale,01380000,   4.4,   9.2,   1.3,   2.5,   0.0,   2.8,   4.7,   1.2,  15.6,   3.1,   1.2,   1.4,   4.0
Hopkinton,01390000,   5.6,   4.7,   2.7,   3.6,   2.7,   1.4,   2.8,   1.9,   7.5,   2.8,   3.1,   1.9,   3.3
Hudson,01410000,   8.1,   7.3,   4.1,   6.4,   4.7,  24.3,   9.0,   4.4,  28.1,   1.6,   2.3,   1.4,   8.9
Hull,01420000,   4.1,  10.7,   7.1,   7.5,   7.0,   9.1,   1.6,   3.3,   3.3,   3.2,   1.6,   7.6,   5.5
Innovation Academy Charter (District),04350000,,,,,,   6.0,   3.0,   4.0,  36.0,   8.3,   9.1,   3.2,  10.0
Ipswich,01440000,  10.3,   6.5,   2.3,   4.2,   4.0,   6.7,   2.4,   0.7,  16.2,   3.2,   1.4,   1.5,   5.0
KIPP Academy Boston Charter School (District),04630000,  10.9,   9.2,   4.5,   6.7,   4.0,   4.2,  13.8,   3.4,,,,,   7.1
KIPP Academy Lynn Charter (District),04290000,   2.4,   1.6,   1.6,   0.8,   0.8,   1.6,   1.6,   1.6,   5.6,   3.2,   0.0,   0.0,   1.8
King Philip,06900000,,,,,,,,   2.6,  22.3,   1.9,   2.1,   2.6,   7.0
Kingston,01450000,  10.9,   7.1,   4.6,   8.2,   6.5,   1.3,,,,,,,   6.5
Lawrence,01490000,   6.2,   5.8,   5.9,   6.3,   7.5,   5.2,   4.0,   3.0,  36.5,   4.2,   3.5,   2.7,   7.8
Lawrence Family Development Charter (District),04540000,   0.0,   0.0,   0.0,   1.2,   1.2,   1.3,   0.0,   2.5,,,,,   0.8
Learning First Charter Public School (District),04860000,   4.0,   4.1,   2.7,   1.3,   5.0,   4.1,   9.5,   0.0,,,,,   3.9
Lee,01500000,  11.5,   2.1,   8.5,   8.3,   6.3,  10.2,   5.4,   3.8,  13.6,   3.2,   1.7,   3.3,   6.5
Leicester,01510000,   8.2,   6.5,   8.1,   7.8,   9.5,   6.9,   3.3,   1.8,  23.7,   5.0,   2.3,   1.0,   7.2
Lenox,01520000,   6.8,  13.5,   4.3,  13.0,   7.8,   8.5,   9.4,   3.2,  13.9,   5.9,   2.9,   3.2,   7.6
Leominster,01530000,   7.5,   8.8,   6.3,   4.9,   7.7,   5.0,   6.6,   4.1,   9.2,   3.9,   4.1,   1.3,   5.7
Leverett,01540000,  14.3,  17.6,  10.0,   5.6,   0.0,   0.0,,,,,,,   7.5
Lexington,01550000,   9.1,   4.8,   6.6,   7.2,   6.0,   6.2,   7.4,   3.7,  11.4,   4.1,   4.1,   1.3,   5.9
