School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Boston - Kilmer K-8 School,00350190,   2.3,  14.6,   4.0,  14.9,  22.9,   9.4,  61.4,   0.0,,,,,  21.3
Boston - King K-8 School,00350376,   8.2,   9.5,   7.7,   9.1,   9.5,  13.2,  27.1,  14.9,,,,,  12.1
Boston - Lee Academy,00350001,  13.9,  14.7,  18.4,,,,,,,,,,  15.7
Boston - Lee K-8 School,00350183,   8.0,  11.9,  15.8,   8.6,  20.0,   5.2,  28.9,  11.9,,,,,  14.5
Boston - Lyndon K-8 School,00350262,   7.6,  10.0,   5.5,   7.1,   3.7,   6.7,  64.1,   6.9,,,,,  16.2
Boston - Lyon High School,00350655,,,,,,,,,,   9.7,  10.5,   7.4,   9.4
Boston - Lyon K-8 School,00350004,   0.0,   0.0,  14.3,  12.5,  21.4,  20.0,  43.8,   0.0,,,,,  14.8
Boston - Madison Park Technical Vocational High School,00350537,,,,,,,,,,   8.4,   8.9,   7.8,   8.4
Boston - Manning Elementary School,00350184,   0.0,   8.7,   7.7,   0.0,   5.0,  19.2,,,,,,,   7.2
Boston - Margarita Muniz Academy,00350549,,,,,,,,,,   8.9,   3.7,   9.2,   7.3
Boston - Mario Umana Academy,00350656,  15.6,   8.3,   9.2,   3.1,  19.4,   6.1,  15.4,   4.7,,,,,  10.5
Boston - Mason Elementary School,00350304,  11.1,   7.7,  13.2,  12.5,  18.2,,,,,,,,  12.4
Boston - Mather Elementary School,00350227,   9.8,  14.3,  14.6,  14.9,  20.2,,,,,,,,  14.8
Boston - Mattahunt Elementary School,00350016,  11.2,  14.9,  15.7,  17.8,,,,,,,,,  14.5
Boston - McCormack Middle School,00350179,,,,,,,  20.0,   7.3,,,,,  13.2
Boston - McKay K-8 School,00350080,  14.3,   7.7,   8.9,   4.8,  22.2,   5.5,  12.6,   8.6,,,,,  10.6
Boston - McKinley Schools,00350363,,  16.7,   0.0,   0.0,   6.3,  33.3,  16.7,   9.4,  16.7,   7.7,  19.4,  10.3,  12.6
Boston - Mendell Elementary School,00350100,   4.9,  12.2,   9.8,  20.9,  15.9,,,,,,,,  12.9
Boston - Mildred Avenue K-8 School,00350378,  17.1,   9.3,   2.3,   3.9,  21.6,  14.3,  16.0,   6.7,,,,,  12.5
Boston - Mission Hill K-8 School,00350382,   4.2,  17.4,  20.0,   5.9,  25.0,  15.8,  25.0,   0.0,,,,,  13.7
Boston - Mozart Elementary School,00350237,   9.1,  12.0,  28.0,  20.0,  22.2,,,,,,,,  18.5
Boston - Murphy K-8 School,00350240,   3.2,   5.6,   3.4,   8.0,  16.0,   3.2,  49.7,  11.6,,,,,  15.9
Boston - New Mission High School,00350542,,,,,,,,   5.4,  22.8,   7.5,   3.4,   7.2,   8.6
Boston - O'Bryant School of Math & Science,00350575,,,,,,,,   5.2,   6.5,   2.2,   2.0,   2.1,   3.0
Boston - O'Donnell Elementary School,00350141,   0.0,   2.6,  17.4,   7.7,  20.0,  10.3,,,,,,,   9.7
Boston - Ohrenberger School,00350258,,,,  21.7,  17.9,  12.0,  42.0,  14.8,,,,,  22.6
Boston - Orchard Gardens K-8 School,00350257,   4.8,   3.4,   8.6,   8.7,   9.7,  17.6,  11.8,   3.4,,,,,   8.8
Boston - Otis Elementary School,00350156,   5.3,  12.7,   7.8,   8.8,  27.3,   9.1,,,,,,,  11.8
Boston - Perkins Elementary School,00350231,  16.7,  12.5,   6.3,  10.8,  11.1,  33.3,,,,,,,  14.8
