District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Holyoke,01370000,   9.6,   9.3,   8.3,  10.6,   6.8,   9.3,   9.2,   7.7,  14.8,   6.5,   5.0,  10.5,   8.9
Holyoke Community Charter (District),04530000,   6.2,   8.8,   6.0,  14.8,   7.3,   6.4,   8.6,   4.4,,,,,   7.9
Hoosac Valley Regional,06030000,   2.7,   5.2,   7.6,   9.3,   7.6,  12.8,  14.9,   6.3,  42.4,  11.7,  17.3,   2.9,  12.0
Hopedale,01380000,  10.6,   6.8,   0.0,   9.0,   4.3,   2.4,   3.7,   0.0,  30.0,   4.9,   6.7,   1.4,   6.6
Hopkinton,01390000,   4.0,   2.6,   1.4,   3.3,   2.5,   3.2,   0.7,   1.3,   6.4,   3.5,   2.5,   2.4,   2.8
Hudson,01410000,   5.7,   3.3,   1.6,   4.3,   1.5,  10.3,   4.4,   3.8,  24.9,   1.9,   5.8,   1.1,   6.0
Hull,01420000,   7.8,   1.8,   3.6,   3.6,   4.6,   3.2,   3.6,   1.7,  13.4,   8.2,   5.3,   4.3,   5.2
Innovation Academy Charter (District),04350000,,,,,,   2.0,   3.0,   5.0,  43.0,   8.7,   3.9,   3.3,   9.9
Ipswich,01440000,   6.5,   6.0,   2.7,   4.0,   1.7,   7.6,   2.4,   2.1,  11.7,   5.0,   0.7,   2.9,   4.4
KIPP Academy Boston Charter School (District),04630000,   8.2,  11.5,   2.7,   6.8,  12.5,   6.3,  22.6,   9.5,,,,,   9.8
KIPP Academy Lynn Charter (District),04290000,   2.5,   0.8,   0.8,   1.6,,   3.3,   4.9,   3.3,   6.6,   5.8,   4.9,   3.5,   3.5
King Philip,06900000,,,,,,,,   3.1,  25.6,   3.9,   2.8,   0.9,   7.3
Kingston,01450000,   7.2,   2.0,   5.6,   3.0,   2.9,   2.1,,,,,,,   3.8
Lawrence,01490000,   8.8,   7.2,   5.6,   5.8,  10.4,   6.4,   6.0,   5.3,  38.3,   6.9,   5.6,   5.5,   9.7
Lawrence Family Development Charter (District),04540000,   1.2,   2.4,   1.2,   1.2,   3.7,   1.3,   1.2,   0.0,,,,,   1.6
Lee,01500000,   9.8,   7.0,   6.5,   4.2,   6.0,   2.7,   0.0,   5.4,   8.6,   4.7,   4.5,   5.9,   5.6
Leicester,01510000,   3.4,   5.5,  10.9,   3.3,   6.8,   7.9,   2.7,   2.9,  22.8,   2.9,   2.9,   1.6,   6.0
Lenox,01520000,   8.7,  11.1,   7.5,   9.4,  13.0,   1.9,   1.8,   3.0,  12.9,   0.0,   6.3,   1.6,   6.2
Leominster,01530000,   6.3,   6.8,   6.1,   7.7,   4.9,   5.1,   8.2,   5.0,   7.4,   4.3,   2.8,   2.0,   5.6
Leverett,01540000,   0.0,   5.9,   0.0,   7.1,   0.0,  13.3,,,,,,,   4.0
Lexington,01550000,   2.7,   2.5,   2.0,   2.4,   2.1,   4.5,   2.3,   1.8,   4.3,   4.0,   3.5,   3.0,   3.0
Libertas Academy Charter School (District),35140000,,,,,,,  15.4,  14.1,,,,,  14.7
Lincoln,01570000,  14.5,  21.7,  11.3,  18.8,  15.9,  15.7,  15.0,  13.5,,,,,  15.7
Lincoln-Sudbury,06950000,,,,,,,,,,   1.5,   2.6,   1.4,   1.8
Littleton,01580000,   5.8,   3.6,   1.7,   1.6,   1.5,   0.0,   7.1,   1.6,  12.6,   4.9,   4.5,   0.0,   3.7
Longmeadow,01590000,   3.0,   4.3,   4.1,   3.2,   3.6,   6.3,   2.3,   1.8,   8.1,   2.8,   2.3,   1.6,   3.6
Lowell,01600000,   7.4,   8.1,   5.8,   5.8,  10.8,   6.7,   5.1,   3.5,  46.8,   7.9,   5.4,   4.5,   9.7
Lowell Community Charter Public (District),04560000,   1.1,   4.4,   4.3,   4.4,   3.2,   3.8,   2.7,   4.1,,,,,   3.5
Lowell Middlesex Academy Charter (District),04580000,,,,,,,,,,  46.7,  16.7,  19.2,  24.6
Ludlow,01610000,   3.5,   3.2,   3.7,   4.4,   3.6,   3.9,   3.3,   1.6,   9.5,   4.5,   1.8,   2.1,   3.8
Lunenburg,01620000,   5.6,   7.0,   3.3,   5.8,   5.2,   3.0,  11.5,   4.2,  23.0,   4.9,   6.6,   4.0,   7.0
Lynn,01630000,   6.8,   5.7,   5.0,   6.1,  13.5,   7.3,   7.5,   4.3,   9.5,   5.2,   4.3,   3.2,   6.6
Lynnfield,01640000,   1.2,   0.6,   1.3,   1.6,   1.6,   4.8,   3.0,   3.4,  15.5,   4.9,   1.8,   0.0,   3.2
MATCH Charter Public School (District),04690000,   7.5,   2.1,  10.5,   3.1,  13.1,  13.5,  14.1,   5.7,  17.2,   8.2,   4.0,   4.3,   8.8
