District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Barnstable Community Horace Mann Charter Public (District),04270000,       308,     2.6,     0.0,       308,    97.4
Baystate Academy Charter Public School (District),35020000,       466,     9.2,     4.5,       449,    94.2
Bedford,00230000,"     2,725",     5.7,     3.0,"     2,664",    96.5
Belchertown,00240000,"     2,387",     5.9,     3.1,"     2,329",    96.5
Bellingham,00250000,"     2,365",     6.9,     2.7,"     2,310",    95.6
Belmont,00260000,"     4,698",     4.5,     2.9,"     4,603",    97.4
Benjamin Banneker Charter Public (District),04200000,       361,     6.6,     3.6,       356,    94.7
Benjamin Franklin Classical Charter Public (District),04470000,       455,     4.8,     2.9,       443,    97.7
Bentley Academy Charter School (District),35110000,       304,    17.8,    12.2,       302,    82.8
Berkley,00270000,       932,     3.0,     1.6,       921,    98.2
Berkshire Arts and Technology Charter Public (District),04140000,       368,    10.6,     4.3,       358,    91.9
Berkshire Hills,06180000,"     1,287",     6.9,     4.2,"     1,254",    95.5
Berlin,00280000,       191,     6.8,     5.8,       184,    96.7
Berlin-Boylston,06200000,       603,     3.8,     1.3,       598,    97.0
Beverly,00300000,"     4,653",     6.7,     3.8,"     4,521",    96.2
Billerica,00310000,"     4,934",     8.3,     5.0,"     4,826",    93.9
Blackstone Valley Regional Vocational Technical,08050000,"     1,228",     1.4,     0.4,"     1,227",    98.7
Blackstone-Millville,06220000,"     1,744",     5.1,     1.7,"     1,724",    96.1
Blue Hills Regional Vocational Technical,08060000,       859,     2.3,     0.2,       858,    97.8
Boston,00350000,"    57,264",    21.0,    13.5,"    54,153",    85.5
Boston Collegiate Charter (District),04490000,       715,     8.5,     5.6,       703,    93.0
Boston Day and Evening Academy Charter (District),04240000,       533,    49.3,    24.4,       438,    61.6
Boston Green Academy Horace Mann Charter School (District),04110000,       537,    21.8,     9.3,       523,    80.3
Boston Preparatory Charter Public (District),04160000,       482,     9.3,     4.6,       466,    93.8
Boston Renaissance Charter Public (District),04810000,       962,     6.0,     3.4,       942,    96.0
Bourne,00360000,"     2,039",     9.0,     5.1,"     1,962",    94.7
Boxford,00380000,       734,     2.6,     2.5,       719,    99.4
Boylston,00390000,       310,     7.1,     4.8,       304,    94.7
Braintree,00400000,"     6,026",     6.0,     3.7,"     5,834",    97.2
Brewster,00410000,       496,     6.0,     3.8,       480,    97.1
Bridge Boston Charter School (District),04170000,       317,     4.4,     2.8,       308,    98.4
Bridgewater-Raynham,06250000,"     5,487",     5.9,     4.1,"     5,315",    97.3
Brimfield,00430000,       307,     9.4,     7.2,       287,    96.9
Bristol County Agricultural,09100000,       458,     0.9,     0.0,       458,    99.1
Bristol-Plymouth Regional Vocational Technical,08100000,"     1,289",     4.2,     0.6,"     1,286",    96.0
Brockton,00440000,"    17,796",    15.1,     9.8,"    16,701",    92.2
Brooke Charter School (District),04280000,"     1,783",     5.3,     3.1,"     1,754",    96.2
Brookfield,00450000,       325,     7.4,     4.9,       312,    96.5
Brookline,00460000,"     8,112",     8.8,     4.6,"     7,854",    94.3
Burlington,00480000,"     3,641",     6.9,     4.7,"     3,534",    95.9
Cambridge,00490000,"     7,248",    10.8,     6.7,"     6,917",    94.0
Canton,00500000,"     3,388",     4.2,     2.8,"     3,311",    98.0
Cape Cod Lighthouse Charter (District),04320000,       249,     5.6,     3.6,       244,    96.3
Cape Cod Regional Vocational Technical,08150000,       613,     9.3,     3.4,       596,    93.3
Carlisle,00510000,       628,     4.0,     3.0,       612,    98.5
Carver,00520000,"     1,634",     7.3,     3.5,"     1,592",    95.2
Central Berkshire,06350000,"     1,661",     6.3,     3.7,"     1,610",    96.6
Chelmsford,00560000,"     5,167",     5.6,     3.2,"     5,026",    97.2
Chelsea,00570000,"     6,858",    16.5,     9.1,"     6,438",    89.0
Chesterfield-Goshen,06320000,       142,     6.3,     4.2,       137,    97.1
Chicopee,00610000,"     8,051",    13.6,     7.3,"     7,604",    92.6
Christa McAuliffe Charter Public (District),04180000,       406,     5.4,     0.7,       404,    95.0
City on a Hill Charter Public School Circuit Street (District),04370000,       287,     9.4,     1.4,       286,    90.9
City on a Hill Charter Public School Dudley Square (District),35040000,       279,    13.3,     5.0,       277,    87.4
City on a Hill Charter Public School New Bedford (District),35070000,       241,    10.4,     0.8,       239,    90.4
Clarksburg,00630000,       192,     3.6,     0.0,       192,    96.4
Clinton,00640000,"     1,974",     9.5,     6.1,"     1,888",    94.7
Codman Academy Charter Public (District),04380000,       362,    12.2,     5.0,       348,    91.4
Cohasset,00650000,"     1,589",     1.4,     0.9,"     1,580",    99.1
Collegiate Charter School of Lowell (District),35030000,       786,    11.5,     6.4,       762,    91.3
Community Charter School of Cambridge (District),04360000,       372,     8.1,     1.9,       369,    92.7
Community Day Charter Public School - Gateway (District),04260000,       324,     2.5,     1.2,       320,    98.8
Community Day Charter Public School - Prospect (District),04400000,       401,     1.0,     0.7,       401,    99.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,       324,     2.8,     1.5,       322,    97.8
Concord,00670000,"     2,149",     3.8,     2.0,"     2,111",    98.0
Concord-Carlisle,06400000,"     1,279",     1.8,     0.4,"     1,274",    98.6
Conservatory Lab Charter (District),04390000,       475,    17.9,    12.8,       457,    85.3
Conway,00680000,       144,     6.3,     3.5,       139,    97.1
Danvers,00710000,"     3,569",     5.2,     3.2,"     3,469",    97.5
Dartmouth,00720000,"     3,796",     6.4,     3.3,"     3,695",    96.3
Dedham,00730000,"     2,776",     8.1,     6.4,"     2,656",    96.2
Deerfield,00740000,       414,     9.7,     8.9,       401,    93.3
Dennis-Yarmouth,06450000,"     3,250",    12.2,     7.3,"     3,084",    92.8
Dighton-Rehoboth,06500000,"     2,970",     4.7,     3.1,"     2,911",    97.3
Douglas,00770000,"     1,370",     6.1,     3.6,"     1,334",    96.4
Dover,00780000,       506,     3.2,     1.6,       499,    98.2
Dover-Sherborn,06550000,"     1,204",     2.3,     0.9,"     1,194",    98.5
Dracut,00790000,"     3,707",     8.4,     5.0,"     3,568",    95.4
