District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Boston Day and Evening Academy Charter (District),04240000,       411,    49.9,    26.0,       332,    62.0
Boston Green Academy Horace Mann Charter School (District),04110000,       443,    22.8,     9.3,       433,    79.0
Boston Preparatory Charter Public (District),04160000,       323,    10.8,     5.0,       312,    92.3
Boston Renaissance Charter Public (District),04810000,       639,     6.4,     3.9,       625,    95.7
Bourne,00360000,       854,    13.7,     8.3,       801,    92.3
Boxford,00380000,       188,     3.7,     3.7,       182,    99.5
Boylston,00390000,        76,    10.5,     7.9,        72,    94.4
Braintree,00400000,"     2,473",    10.9,     6.9,"     2,327",    95.0
Brewster,00410000,       217,    11.1,     6.0,       204,    94.6
Bridge Boston Charter School (District),04170000,       256,     4.3,     2.7,       249,    98.4
Bridgewater-Raynham,06250000,"     1,727",    11.8,     8.1,"     1,613",    95.0
Brimfield,00430000,       111,    18.0,    12.6,        98,    92.9
Bristol County Agricultural,09100000,       156,     1.9,     0.0,       156,    98.1
Bristol-Plymouth Regional Vocational Technical,08100000,       534,     5.8,     0.7,       532,    94.5
Brockton,00440000,"    13,166",    17.9,    11.8,"    12,200",    90.7
Brooke Charter School (District),04280000,"     1,097",     6.0,     3.9,"     1,076",    95.8
Brookfield,00450000,       132,    13.6,     8.3,       123,    92.7
Brookline,00460000,"     2,938",    17.3,     9.3,"     2,743",    88.8
Burlington,00480000,"     1,026",    14.0,     9.9,       952,    92.8
Cambridge,00490000,"     3,626",    15.4,    10.0,"     3,371",    91.8
Canton,00500000,       951,    11.3,     8.1,       888,    95.0
Cape Cod Lighthouse Charter (District),04320000,        82,     9.8,     6.1,        78,    94.9
Cape Cod Regional Vocational Technical,08150000,       363,     9.1,     4.4,       350,    94.3
Carlisle,00510000,       145,     6.2,     4.8,       140,    97.1
Carver,00520000,       667,    11.5,     5.5,       640,    92.2
Central Berkshire,06350000,       736,     8.7,     5.4,       701,    95.9
Chelmsford,00560000,"     1,618",    11.4,     6.6,"     1,525",    94.4
Chelsea,00570000,"     5,737",    18.0,    10.1,"     5,345",    88.1
Chesterfield-Goshen,06320000,        70,    10.0,     5.7,        67,    94.0
Chicopee,00610000,"     5,276",    18.0,     9.8,"     4,889",    90.0
Christa McAuliffe Charter Public (District),04180000,       172,     8.1,     0.6,       172,    91.9
City on a Hill Charter Public School Circuit Street (District),04370000,       221,    11.3,     1.8,       220,    89.1
City on a Hill Charter Public School Dudley Square (District),35040000,       224,    13.4,     5.8,       222,    87.4
City on a Hill Charter Public School New Bedford (District),35070000,       201,    11.4,     1.0,       199,    89.4
Clarksburg,00630000,       101,     5.9,     0.0,       101,    94.1
Clinton,00640000,"     1,093",    14.1,     9.2,"     1,022",    91.9
Codman Academy Charter Public (District),04380000,       256,    12.5,     3.9,       249,    90.0
Cohasset,00650000,       293,     3.4,     1.7,       290,    97.6
Collegiate Charter School of Lowell (District),35030000,       507,    13.8,     7.9,       489,    89.4
Community Charter School of Cambridge (District),04360000,       197,    10.7,     2.0,       196,    89.8
Community Day Charter Public School - Gateway (District),04260000,       261,     1.9,     0.4,       260,    98.5
Community Day Charter Public School - Prospect (District),04400000,       320,     1.3,     0.9,       320,    98.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,       258,     2.7,     1.6,       256,    98.0
Concord,00670000,       544,     6.3,     4.0,       525,    97.1
Concord-Carlisle,06400000,       288,     4.2,     1.0,       285,    96.8
Conservatory Lab Charter (District),04390000,       317,    20.8,    15.1,       301,    83.4
Conway,00680000,        58,    10.3,     5.2,        55,    94.5
Danvers,00710000,"     1,139",    10.2,     6.5,"     1,073",    95.5
Dartmouth,00720000,"     1,386",    12.0,     6.9,"     1,304",    93.5
Dedham,00730000,"     1,240",    13.0,    10.3,"     1,140",    94.8
Deerfield,00740000,       147,    14.3,    12.9,       141,    89.4
Dennis-Yarmouth,06450000,"     1,957",    17.0,    10.1,"     1,814",    90.0
Dighton-Rehoboth,06500000,       842,     8.3,     5.0,       817,    94.6
